fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
frame-Being_named-moniker.n	being_named#cognomen.n	being_named#nickname.n	being_named#soubriquet.n
frame-Being_named-pen_name.n	being_named#nom_de_plume.n
frame-Being_named-pseudonym.n	being_named#nom_de_guerre.n
frame-Being_named-surname.n	being_named#family_name.n	being_named#last_name.n
frame-Being_necessary-necessity.n	being_necessary#essential.a	being_necessary#indispensable.a	being_necessary#necessary.a	being_necessary#needed.a	being_necessary#required.a	being_necessary#requirement.n
frame-Being_obligated-duty.n	being_obligated#obligation.n	being_obligated#responsibility.n
frame-Being_obligated-mission.n	being_obligated#commission.n
frame-Being_obligatory-mandatory.a	being_obligatory#compulsory.a
frame-Being_operational-broken.a	being_operational#busted.a
frame-Being_operational-work.v	being_operational#functional.a	being_operational#operational.a	being_operational#working.a
frame-Being_rotted-putrid.a	being_rotted#decayed.a	being_rotted#rotted.a	being_rotted#rotten.a
frame-Being_strong-strong.a	being_strong#impregnable.a
frame-Being_up_to_it-up_to.prep	being_up_to_it#up_to.c
frame-Being_wet-damp.a	being_wet#moist.a
frame-Being_wet-soggy.a	being_wet#waterlogged.a
frame-Besieging-besiege.v	besieging#beleaguer.v
frame-Besieging-invest.v	besieging#investment.n
frame-Beyond_compare-beyond_compare.prep	beyond_compare#beyond_compare.c
frame-Beyond_compare-peerless.a	beyond_compare#matchless.a	beyond_compare#nonpareil.a	beyond_compare#unmatched.a	beyond_compare#unrivalled.a
frame-Beyond_compare-without_compare.prep	beyond_compare#without_compare.c
frame-Beyond_compare-without_equal.prep	beyond_compare#without_equal.c
frame-Beyond_compare-without_match.prep	beyond_compare#without_match.c
frame-Beyond_compare-without_peer.prep	beyond_compare#without_peer.c
frame-Biological_area-bog.n	biological_area#fen.n	biological_area#marsh.n	biological_area#marshland.n	biological_area#mire.n	biological_area#swamp.n	biological_area#swampland.n
frame-Biological_area-bush.n	biological_area#scrub.n
frame-Biological_area-copse.n	biological_area#thicket.n
frame-Biological_area-wood.n	biological_area#forest.n	biological_area#woodland.n
frame-Biological_urge-beat.a	biological_urge#bushed.a
frame-Biological_urge-drowsiness.n	biological_urge#drowsy.a	biological_urge#sleepiness.n	biological_urge#sleepy.a	biological_urge#somnolence.n	biological_urge#somnolent.a
frame-Biological_urge-famished.a	biological_urge#ravenous.a
frame-Biological_urge-fatigue.n	biological_urge#tired.a	biological_urge#tiredness.n	biological_urge#weariness.n	biological_urge#weary.a
frame-Biological_urge-fatigued.a	biological_urge#dog-tired.a	biological_urge#exhausted.a	biological_urge#worn_out.a
frame-Biological_urge-horny.a	biological_urge#aroused.a	biological_urge#randy.a	biological_urge#turned_on.a
frame-Biological_urge-hunger.n	biological_urge#thirst.n	biological_urge#thirsty.a
frame-Biological_urge-nausea.n	biological_urge#nauseated.a	biological_urge#nauseous.a	biological_urge#queasiness.n	biological_urge#queasy.a	biological_urge#sick.a
frame-Birth-bear.v	birth#birth.n	birth#birth.v
frame-Birth-sire.v	birth#beget.v	birth#bring_forth.v	birth#father.v	birth#generate.v	birth#mother.v
frame-Board_vehicle-embark.v	board_vehicle#embarkation.n	board_vehicle#embarkment.n
frame-Body_decoration-rouge.n	body_decoration#blusher.n
frame-Body_description_holistic-bony.a	body_description_holistic#gaunt.a	body_description_holistic#scrawny.a	body_description_holistic#skinny.a
frame-Body_description_holistic-dumpy.a	body_description_holistic#chubby.a	body_description_holistic#plump.a	body_description_holistic#pudgy.a	body_description_holistic#squat.a	body_description_holistic#stubby.a
frame-Body_description_holistic-hefty.a	body_description_holistic#brawny.a	body_description_holistic#muscular.a
frame-Body_description_holistic-lanky.a	body_description_holistic#rangy.a
frame-Body_description_holistic-lean.a	body_description_holistic#thin.a
frame-Body_description_holistic-obese.a	body_description_holistic#corpulent.a	body_description_holistic#portly.a	body_description_holistic#stout.a
frame-Body_description_holistic-slim.a	body_description_holistic#lithe.a	body_description_holistic#slender.a	body_description_holistic#svelte.a
frame-Body_description_holistic-stocky.a	body_description_holistic#thickset.a
frame-Body_mark-zit.n	body_mark#pimple.n	body_mark#pustule.n
frame-Body_movement-bat.v	body_movement#flutter.v
frame-Body_movement-bend.v	body_movement#flex.v
frame-Body_movement-bob.v	body_movement#curtsy.n	body_movement#curtsy.v
frame-Body_movement-flap.v	body_movement#roll.v	body_movement#wave.v
frame-Body_movement-pucker.v	body_movement#crumple.v
frame-Body_movement-purse.v	body_movement#crease.v	body_movement#crinkle.v	body_movement#scrunch.v	body_movement#wrinkle.v
frame-Body_movement-shiver.v	body_movement#shudder.v
frame-Body_movement-shut.v	body_movement#close.v
frame-Body_movement-toss.v	body_movement#twitch.v
frame-Body_movement-twist.v	body_movement#jiggle.v	body_movement#wiggle.v	body_movement#wriggle.v	body_movement#writhe.v
frame-Body_movement-wag.v	body_movement#shake.v	body_movement#waggle.v
frame-Body_movement-wink.v	body_movement#blink.v
frame-Boundary-edge.n	boundary#border.n	boundary#boundary.n
frame-Bragging-brag.v	bragging#boast.n	bragging#boast.v	bragging#boastful.a	bragging#braggart.n	bragging#rodomontade.n	bragging#vaunt.v
frame-Breathing-blow.v	breathing#gasp.v	breathing#pant.v	breathing#puff.v
frame-Breathing-exhale.v	breathing#exhalation.n	breathing#exhalation_act.n	breathing#expire.v
