fe-Aggregate-AggregateProperty	aggregate@aggregateproperty
frame-Hostile_encounter-gunfight.n	hostile_encounter#shootout.n
frame-Hostile_encounter-scuffle.v	hostile_encounter#scuffle.n	hostile_encounter#tussle.n
frame-Hostile_encounter-skirmish.v	hostile_encounter#clash.n	hostile_encounter#skirmish.n
frame-Hostile_encounter-spat.n	hostile_encounter#squabble.n	hostile_encounter#tiff.n
frame-Hostile_encounter-war.n	hostile_encounter#warfare.n
frame-Idiosyncrasy-idiosyncrasy.n	idiosyncrasy#idiosyncratic.a
frame-Idiosyncrasy-peculiarity.n	idiosyncrasy#particular.a	idiosyncrasy#peculiar.a
frame-Idiosyncrasy-weird.a	idiosyncrasy#uncanny.a
frame-Imitating-ape.v	imitating#copy.v	imitating#imitate.v
frame-Impact-bang.v	impact#slam.v
frame-Impact-bump.v	impact#knock.v
frame-Impact-click.v	impact#chatter.v
frame-Impact-clink.v	impact#tinkle.v
frame-Impact-crash.v	impact#crash.n
frame-Impact-hit.v	impact#clash.v	impact#collide.v	impact#collision.n	impact#hit.n	impact#rap.v	impact#strike.v
frame-Impact-slap.v	impact#smack.v
frame-Impact-thud.v	impact#clunk.v	impact#plunk.v
frame-Import_export-export.v	import_export#export_((act)).n	import_export#export_((entity)).n	import_export#exporter.n
frame-Import_export-import.v	import_export#import_((act)).n	import_export#import_((entity)).n	import_export#importation.n	import_export#importer.n
frame-Importance-importance.n	importance#critical.a	importance#crucial.a	importance#decisive.a	importance#important.a	importance#significance.n	importance#significant.a	importance#vital.a
frame-Importance-key.a	importance#fundamental.a
frame-Importance-seriously.adv	importance#seriously.c
frame-Importing-import.v	importing#import_((act)).n	importing#import_((entity)).n	importing#importation.n
frame-Imposing_obligation-bind.v	imposing_obligation#obligate.v
frame-Imposing_obligation-charge.v	imposing_obligation#charge.n
frame-Imprisonment-jail.v	imprisonment#imprison.v	imprisonment#imprisonment.n	imprisonment#incarcerate.v	imprisonment#incarceration.n	imprisonment#put_away.v
frame-In-in.prep	in#in.c
frame-Inchoative_attaching-bind.v	inchoative_attaching#attach.v	inchoative_attaching#fasten.v	inchoative_attaching#stick.v
frame-Inchoative_change_of_temperature-cool.v	inchoative_change_of_temperature#chill.v
frame-Inchoative_change_of_temperature-heat.v	inchoative_change_of_temperature#warm.v
frame-Inclination-proclivity.n	inclination#propensity.n
frame-Inclusion-among.prep	inclusion#among.c
frame-Inclusion-amongst.prep	inclusion#amongst.c
frame-Inclusion-contain.v	inclusion#incorporate.v
frame-Inclusion-excluding.prep	inclusion#excluding.c
frame-Inclusion-including.prep	inclusion#including.c
frame-Indigenous_origin-indigenous.a	indigenous_origin#autochthonous.a
frame-Ineffability-magic.n	ineffability#magic.a	ineffability#magical.a
frame-Influence_of_event_on_cognizer-influence.v	influence_of_event_on_cognizer#influence((mass)).n	influence_of_event_on_cognizer#influence.n	influence_of_event_on_cognizer#influential.a
frame-Information-data.n	information#info.n	information#information.n
frame-Ingest_substance-drag.v	ingest_substance#drag.n	ingest_substance#puff.v
frame-Ingestion-down.v	ingestion#devour.v
frame-Ingestion-drink.v	ingestion#imbibe.v
frame-Ingestion-gulp.v	ingestion#gulp.n	ingestion#guzzle.v	ingestion#quaff.v	ingestion#swig.n	ingestion#swig.v	ingestion#swill.v
frame-Ingestion-ingest.v	ingestion#consume.v
frame-Ingestion-nosh.v	ingestion#snack.v
frame-Ingestion-sip.v	ingestion#sip.n
frame-Ingredients-element.n	ingredients#component.n
frame-Inhibit_movement-confine.v	inhibit_movement#restrict.v
frame-Inhibit_movement-immure.v	inhibit_movement#imprison.v
frame-Installing-install.v	installing#installation.n
frame-Instance-case.n	instance#example.n	instance#instance.n
frame-Institutionalization-commit.v	institutionalization#commitment.n	institutionalization#institutionalize.v
frame-Institutionalization-hospitalize.v	institutionalization#hospitalization.n
frame-Institutions-institution.n	institutions#institutional.a
frame-Intentionally_act-act.v	intentionally_act#act.n	intentionally_act#action.n	intentionally_act#move.n
frame-Intentionally_act-execute.v	intentionally_act#carry_out.v
frame-Intentionally_act-perform.v	intentionally_act#actor.n
frame-Intentionally_create-create.v	intentionally_create#creation.n	intentionally_create#produce.v	intentionally_create#production.n
frame-Intentionally_create-found.v	intentionally_create#set_up.v
frame-Intentionally_create-synthesise.v	intentionally_create#synthesis.n
frame-Intercepting-intercept.v	intercepting#interception.n
frame-Interrupt_process-interrupt.v	interrupt_process#interruption.n
frame-Into-into.prep	into#into.c
frame-Intoxicants-LSD.n	intoxicants#lsd.n
frame-Intoxicants-cannabis.n	intoxicants#marijuana.n
frame-Intoxicants-downer.n	intoxicants#sedative.n	intoxicants#tranquillizer.n
frame-Intoxicants-peyote.n	intoxicants#mescaline.n
frame-Intoxicants-pot.n	intoxicants#dope.n	intoxicants#grass.n	intoxicants#weed.n
frame-Intoxicants-speed.n	intoxicants#amphetamine.n	intoxicants#upper.n
frame-Intoxication-blotto.a	intoxication#pissed.a	intoxication#sloshed.a
frame-Intoxication-drunk.a	intoxication#inebriated.a	intoxication#intoxicated.a
frame-Intoxication-under_the_influence.prep	intoxication#under_the_influence.c
frame-Invading-invade.v	invading#invader.n	invading#invasion.n
frame-Isolated_places-Bumblefuck.n	isolated_places#bumblefuck.n
frame-Isolated_places-Podunk.n	isolated_places#podunk.n
frame-Isolated_places-backwoods.n	isolated_places#boondocks.n
frame-Judgment-admiration.n	judgment#appreciation.n
frame-Judgment-approbation.n	judgment#approving.a
frame-Judgment-blame.v	judgment#blame.n	judgment#fault.v
frame-Judgment-deify.v	judgment#exalt.v
frame-Judgment-mock.v	judgment#mockery.n
frame-Judgment-prize.v	judgment#admire.v	judgment#appreciate.v	judgment#esteem.n	judgment#esteem.v	judgment#respect.n	judgment#respect.v	judgment#value.v
frame-Judgment-revere.v	judgment#reverence.n
frame-Judgment-scorn.n	judgment#contempt.n	judgment#contemptuous.a	judgment#disdain.n	judgment#disdainful.a	judgment#scornful.a
frame-Judgment-scorn.v	judgment#disdain.v
frame-Judgment-stigmatize.v	judgment#stigma.n
frame-Judgment_communication-accuse.v	judgment_communication#accusation.n	judgment_communication#charge.n	judgment_communication#charge.v
frame-Judgment_communication-belittle.v	judgment_communication#belittling.n	judgment_communication#denigrate.v	judgment_communication#denigration.n	judgment_communication#denigrative.a	judgment_communication#deprecate.v	judgment_communication#deprecation.n	judgment_communication#deprecative.a	judgment_communication#deprecatory.a	judgment_communication#disparage.v	judgment_communication#disparagement.n	judgment_communication#disparaging.a
frame-Judgment_communication-censure.v	judgment_communication#castigate.v	judgment_communication#censure.n	judgment_communication#remonstrate.v	judgment_communication#reprehend.v	judgment_communication#reprehension.n
frame-Judgment_communication-commend.v	judgment_communication#commendation.n
frame-Judgment_communication-critique.v	judgment_communication#critic.n	judgment_communication#critical.a	judgment_communication#criticism.n	judgment_communication#criticize.v	judgment_communication#critique.n
frame-Judgment_communication-damn.v	judgment_communication#condemnation.n	judgment_communication#denounce.v	judgment_communication#denouncement.n	judgment_communication#denunciation.n	judgment_communication#denunciative.a	judgment_communication#denunciatory.a	judgment_communication#execration.n	judgment_communication#malediction.n
frame-Judgment_communication-decry.v	judgment_communication#condemn.v	judgment_communication#excoriate.v	judgment_communication#excoriation.n
frame-Judgment_communication-deride.v	judgment_communication#derision.n	judgment_communication#mocking.a	judgment_communication#ridicule.n	judgment_communication#ridicule.v
frame-Judgment_communication-gibe.v	judgment_communication#mock.v	judgment_communication#scoff.v
frame-Judgment_communication-hail.v	judgment_communication#acclaim.n	judgment_communication#acclaim.v
frame-Judgment_communication-harangue.v	judgment_communication#harangue.n
frame-Judgment_communication-laud.v	judgment_communication#commendable.a	judgment_communication#extol.v	judgment_communication#kudos.n	judgment_communication#laudable.a	judgment_communication#laudatory.a	judgment_communication#praise.n	judgment_communication#praise.v
frame-Judgment_direct_address-chide.v	judgment_direct_address#admonish.v	judgment_direct_address#admonishment.n	judgment_direct_address#admonition.n	judgment_direct_address#berate.v	judgment_direct_address#castigation.n	judgment_direct_address#chastise.v	judgment_direct_address#chastisement.n	judgment_direct_address#rebuke.n	judgment_direct_address#rebuke.v	judgment_direct_address#reprimand.n	judgment_direct_address#reprimand.v	judgment_direct_address#reproach.v	judgment_direct_address#reproof.n	judgment_direct_address#reprove.v	judgment_direct_address#scold.v	judgment_direct_address#take_to_task.v	judgment_direct_address#tongue-lashing.n	judgment_direct_address#upbraid.v
frame-Judgment_direct_address-compliment.v	judgment_direct_address#compliment.n
frame-Judgment_direct_address-jeer.v	judgment_direct_address#jeer.n
frame-Judicial_body-court.n	judicial_body#tribunal.n
frame-Jury_deliberation-deliberate.v	jury_deliberation#deliberation.n
frame-Justifying-defend.v	justifying#defence.n
frame-Justifying-explain.v	justifying#justification.n	justifying#justify.v	justifying#rationalize.v
frame-Kidnapping-abduct.v	kidnapping#abduction.n	kidnapping#abductor.n	kidnapping#kidnap.v	kidnapping#kidnapper.n	kidnapping#kidnapping.n	kidnapping#snatch.v	kidnapping#snatcher.n
frame-Killing-annihilate.v	killing#annihilation.n
frame-Killing-assassinate.v	killing#assassin.n	killing#assassination.n
frame-Killing-behead.v	killing#decapitate.v
frame-Killing-beheading.n	killing#decapitation.n
frame-Killing-butcher.v	killing#butchery.n	killing#carnage.n	killing#massacre.n	killing#massacre.v	killing#slaughter.n	killing#slaughter.v	killing#slaughterer.n
frame-Killing-crucify.v	killing#crucifixion.n
frame-Killing-deadly.a	killing#lethal.a
frame-Killing-kill.v	killing#dispatch.v	killing#eliminate.v	killing#homicide.n	killing#killer.n	killing#liquidate.v	killing#liquidation.n	killing#liquidator.n	killing#murder.n	killing#murder.v	killing#murderer.n	killing#slay.v	killing#slayer.n	killing#slaying.n
frame-Killing-smother.v	killing#asphyxiate.v	killing#suffocate.v	killing#suffocation.n
frame-Kinship-ancestor.n	kinship#ancestral.a
frame-Kinship-aunt.n	kinship#auntie.n
frame-Kinship-dad.n	kinship#daddy.n
frame-Kinship-father.n	kinship#forefather.n	kinship#mother.n
frame-Kinship-kid.n	kinship#child.n
frame-Kinship-kin.n	kinship#clan.n	kinship#relative.n
frame-Kinship-mom.n	kinship#mum.n
frame-Kinship-parent.n	kinship#maternal.a	kinship#parental.a	kinship#paternal.a
frame-Leadership-CEO.n	leadership#ceo.n	leadership#chief_executive_officer.n
frame-Leadership-baron.n	leadership#mogul.n	leadership#power_((rule)).n
frame-Leadership-command.v	leadership#command.n	leadership#commandant.n	leadership#commander.n
frame-Leadership-congressman.n	leadership#representative.n
frame-Leadership-head.v	leadership#chief.n	leadership#head.n	leadership#lead.v	leadership#leader.n	leadership#leadership.n	leadership#principal.n
frame-Leadership-legislator.n	leadership#legislature.n
frame-Leadership-monarch.n	leadership#sovereign.n
frame-Leadership-overlord.n	leadership#authority.n	leadership#headmaster.n
frame-Leadership-premier.n	leadership#prime_minister.n
frame-Leadership-preside.v	leadership#administer.v	leadership#chairman.n	leadership#chairperson.n	leadership#executive.n	leadership#president_(political).n	leadership#presidential.a
frame-Leadership-rule.v	leadership#administration.n	leadership#govern.v	leadership#government.n	leadership#governor.n	leadership#regime.n	leadership#rule.n	leadership#ruler.n
frame-Legality-licit.a	legality#lawful.a	legality#legitimate.a
frame-Legality-wrong.a	legality#illicit.a	legality#unlawful.a	legality#wrongful.a
frame-Legality-wrongly.adv	legality#wrongly.c
frame-Light_movement-flame.v	light_movement#flare.v
frame-Light_movement-flash.v	light_movement#coruscate.v	light_movement#coruscation.n	light_movement#flicker.n	light_movement#flicker.v	light_movement#gleam.v	light_movement#glint.n	light_movement#glint.v	light_movement#glisten.v	light_movement#glister.n	light_movement#glitter.n	light_movement#glitter.v	light_movement#scintillate.v	light_movement#scintillation.n	light_movement#sparkle.v	light_movement#twinkle.n	light_movement#twinkle.v
frame-Light_movement-glimmer.v	light_movement#glimmer.n
frame-Light_movement-glow.v	light_movement#gleam.n	light_movement#glow.n
frame-Light_movement-shine.v	light_movement#glistening.a	light_movement#refulgence.n	light_movement#sheen.n	light_movement#shine.n
frame-Likelihood-certainly.adv	likelihood#certainly.c	likelihood#sure.a
frame-Likelihood-likely.adv	likelihood#likelihood.n	likelihood#likely.a	likelihood#likely.c	likelihood#probability.n	likelihood#probable.a	likelihood#probably.c
frame-Likelihood-possibility.n	likelihood#possible.a
frame-Likelihood-possibly.adv	likelihood#possibly.c
frame-Linguistic_meaning-denote.v	linguistic_meaning#denotation.n	linguistic_meaning#extension.n	linguistic_meaning#referential.a
frame-Linguistic_meaning-mean.v	linguistic_meaning#meaning.n
frame-Lively_place-hum.v	lively_place#buzz.v
frame-Locale-site.n	locale#location.n
frame-Locale-spot.n	locale#locale.n	locale#place.n
frame-Locale_by_event-field.n	locale_by_event#battlefield.n
frame-Locale_by_ownership-land.n	locale_by_ownership#estate.n
frame-Locale_by_use-city.n	locale_by_use#urban.a
frame-Locale_by_use-facility.n	locale_by_use#installation.n
frame-Locale_by_use-field.n	locale_by_use#airfield.n
frame-Locale_by_use-lab.n	locale_by_use#laboratory.n
frame-Locale_by_use-park.n	locale_by_use#green.n	locale_by_use#park((2)).n
frame-Location_of_light-flame.v	location_of_light#flare.v
frame-Location_of_light-flash.v	location_of_light#coruscate.v	location_of_light#coruscation.n	location_of_light#flicker.n	location_of_light#flicker.v	location_of_light#gleam.v	location_of_light#glint.n	location_of_light#glint.v	location_of_light#glisten.v	location_of_light#glister.n	location_of_light#glitter.n	location_of_light#glitter.v	location_of_light#glittering.a	location_of_light#scintillate.v	location_of_light#scintillation.n	location_of_light#sparkle.v	location_of_light#twinkle.v
frame-Location_of_light-glimmer.v	location_of_light#glimmer.n
frame-Location_of_light-glow.v	location_of_light#gleam.n	location_of_light#glow.n	location_of_light#lambency.n	location_of_light#lambent.a
frame-Location_of_light-shine.v	location_of_light#glistening.a	location_of_light#glossy.a	location_of_light#lustre.n	location_of_light#refulgence.n	location_of_light#refulgent.a	location_of_light#sheen.n	location_of_light#shine.n	location_of_light#shining.a	location_of_light#shiny.a
frame-Locative_relation-above.prep	locative_relation#above.c
frame-Locative_relation-abut.v	locative_relation#adjoin.v	locative_relation#border.v
frame-Locative_relation-adjacent.a	locative_relation#neighboring.a
frame-Locative_relation-against.prep	locative_relation#against.c
frame-Locative_relation-all_over.prep	locative_relation#all_over.c
frame-Locative_relation-along.prep	locative_relation#along.c
frame-Locative_relation-amid.prep	locative_relation#amid.c
frame-Locative_relation-among.prep	locative_relation#among.c
frame-Locative_relation-around.prep	locative_relation#around.c
frame-Locative_relation-astride.prep	locative_relation#astride.c
frame-Locative_relation-at.prep	locative_relation#at.c
frame-Locative_relation-athwart.prep	locative_relation#athwart.c
frame-Locative_relation-atop.prep	locative_relation#atop.c
frame-Locative_relation-below.prep	locative_relation#below.c
frame-Locative_relation-beneath.prep	locative_relation#beneath.c
frame-Locative_relation-beside.prep	locative_relation#beside.c
frame-Locative_relation-between.prep	locative_relation#between.c
frame-Locative_relation-beyond.prep	locative_relation#beyond.c
frame-Locative_relation-by.prep	locative_relation#by.c
frame-Locative_relation-down.prep	locative_relation#down.c
frame-Locative_relation-east.prep	locative_relation#east.c
frame-Locative_relation-elsewhere.adv	locative_relation#elsewhere.c
frame-Locative_relation-everywhere.adv	locative_relation#everywhere.c
frame-Locative_relation-here.adv	locative_relation#here.c
frame-Locative_relation-in.prep	locative_relation#in.c
frame-Locative_relation-inside.prep	locative_relation#inside.c
frame-Locative_relation-meet.v	locative_relation#contact.v	locative_relation#touch.v
frame-Locative_relation-near.prep	locative_relation#near.c
frame-Locative_relation-next_to.prep	locative_relation#next_to.c
frame-Locative_relation-north.prep	locative_relation#north.c
frame-Locative_relation-northeast.prep	locative_relation#northeast.c
frame-Locative_relation-off.prep	locative_relation#off.c
frame-Locative_relation-on.prep	locative_relation#on.c
frame-Locative_relation-on_top_of.prep	locative_relation#on_top_of.c
frame-Locative_relation-opposite.prep	locative_relation#opposite.c
frame-Locative_relation-out.prep	locative_relation#out.c
frame-Locative_relation-outside.prep	locative_relation#outside.c
frame-Locative_relation-over.prep	locative_relation#over.c
frame-Locative_relation-past.prep	locative_relation#past.c
frame-Locative_relation-south.prep	locative_relation#south.c
frame-Locative_relation-southeast.prep	locative_relation#southeast.c
frame-Locative_relation-there.adv	locative_relation#there.c
frame-Locative_relation-throughout.prep	locative_relation#throughout.c
frame-Locative_relation-to.prep	locative_relation#to.c
frame-Locative_relation-under.prep	locative_relation#under.c
frame-Locative_relation-underground.adv	locative_relation#underground.c
frame-Locative_relation-underneath.prep	locative_relation#underneath.c
frame-Locative_relation-up.prep	locative_relation#up.c
frame-Locative_relation-upon.prep	locative_relation#upon.c
frame-Locative_relation-west.prep	locative_relation#west.c
frame-Locative_relation-where.adv	locative_relation#where.c
frame-Luck-luckily.adv	luck#fortunate.a	luck#fortunately.c	luck#luckily.c
frame-Make_cognitive_connection-tie.v	make_cognitive_connection#connect.v	make_cognitive_connection#connection.n	make_cognitive_connection#link.n	make_cognitive_connection#link.v	make_cognitive_connection#tie.n
frame-Make_noise-babble.v	make_noise#burble.v	make_noise#gurgle.v
frame-Make_noise-beep.v	make_noise#blare.v
frame-Make_noise-boom.v	make_noise#blast.v	make_noise#thunder.v
frame-Make_noise-clack.v	make_noise#clatter.v	make_noise#click.v
frame-Make_noise-creak.v	make_noise#screech.v	make_noise#squeak.v	make_noise#whine.v
frame-Make_noise-cry.v	make_noise#bellow.v	make_noise#caterwaul.v	make_noise#howl.v	make_noise#keen.v	make_noise#mewl.v	make_noise#moan.v	make_noise#roar.v	make_noise#scream.v	make_noise#squawk.v	make_noise#ululate.v	make_noise#wail.v	make_noise#whimper.v	make_noise#yammer.v	make_noise#yowl.v
frame-Make_noise-gasp.v	make_noise#snort.v
frame-Make_noise-giggle.v	make_noise#titter.v
frame-Make_noise-grunt.v	make_noise#squeal.v
frame-Make_noise-neigh.v	make_noise#whinny.v
frame-Make_noise-peal.v	make_noise#ring.v	make_noise#toll.v
frame-Make_noise-peep.v	make_noise#cheep.v	make_noise#chirp.v	make_noise#twitter.v
frame-Make_noise-snicker.v	make_noise#snigger.v
frame-Make_noise-yap.v	make_noise#yelp.v
frame-Make_possible_to_do-let.v	make_possible_to_do#allow.v
frame-Making_faces-frown.v	making_faces#scowl.v
frame-Making_faces-grin.v	making_faces#smile.v
frame-Manipulate_into_doing-cajole.v	manipulate_into_doing#flatter.v
frame-Manipulate_into_doing-con.v	manipulate_into_doing#cheat.v	manipulate_into_doing#defraud.v	manipulate_into_doing#trick.v
frame-Manipulate_into_doing-dupe.v	manipulate_into_doing#fool.v
frame-Manipulate_into_shape-coil.v	manipulate_into_shape#curl.v	manipulate_into_shape#loop.v
frame-Manipulation-grip.v	manipulation#clasp.v	manipulation#clutch.v	manipulation#grasp.v	manipulation#handle.v	manipulation#hold.v	manipulation#seize.v
frame-Manipulation-grope.v	manipulation#fumble.v
frame-Manipulation-kiss.v	manipulation#caress.n	manipulation#caress.v
frame-Manipulation-knead.v	manipulation#massage.v
frame-Manipulation-nip.v	manipulation#pinch.v	manipulation#squeeze.v	manipulation#tweak.v
frame-Manipulation-stroke.v	manipulation#stroke.n
frame-Manipulation-tug.v	manipulation#pull.n	manipulation#pull.v	manipulation#push.v	manipulation#yank.v
frame-Manufacturing-fabricate.v	manufacturing#fabrication.n	manufacturing#industrial.a	manufacturing#maker.n	manufacturing#manufacture.n	manufacturing#manufacture.v	manufacturing#manufacturer.n	manufacturing#manufacturing.n	manufacturing#producer.n
frame-Mass_motion-pour.v	mass_motion#stream.v	mass_motion#swarm.v	mass_motion#teem.v
frame-Mass_motion-troop.v	mass_motion#parade.v
frame-Means-by.prep	means#by.c
frame-Means-on.prep	means#on.c
frame-Means-process.n	means#procedure.n
frame-Measure_mass-kilo.n	measure_mass#kilogram.n
frame-Measure_volume-box.n	measure_volume#packet.n
frame-Measure_volume-carload.n	measure_volume#boatload.n
frame-Measure_volume-scoop.n	measure_volume#scoopful.n
frame-Measure_volume-spoon.n	measure_volume#spoonful.n
frame-Measure_volume-teaspoon.n	measure_volume#teaspoonful.n
frame-Medical_conditions-AIDS.n	medical_conditions#aids.n
frame-Medical_conditions-Alzheimer's.n	medical_conditions#alzheimer's.n
frame-Medical_conditions-flu.n	medical_conditions#influenza.n
frame-Medical_conditions-health.n	medical_conditions#healthy.a
frame-Medical_conditions-illness.n	medical_conditions#ill.a	medical_conditions#sick.a	medical_conditions#sickness.n	medical_conditions#unwell.a
frame-Medical_conditions-rubella.n	medical_conditions#german_measles.n
frame-Medical_professionals-doctor.n	medical_professionals#physician.n
frame-Medical_specialties-midwifery.n	medical_specialties#obstetrics.n
frame-Medium-in.prep	medium#in.c
frame-Membership-member.n	membership#membership.n	membership#membership_(status).n
frame-Memorization-learn.v	memorization#memorise.v	memorization#memorization.n
frame-Memory-recall.v	memory#memory.n	memory#recollect.v	memory#recollection.n	memory#remember.v	memory#retain.v
frame-Mental_property-absurdity.n	mental_property#absurd.a	mental_property#idiotic.a	mental_property#inane.a	mental_property#ludicrous.a	mental_property#nonsensical.a	mental_property#ridiculous.a
frame-Mental_property-astuteness.n	mental_property#astute.a	mental_property#sagacious.a	mental_property#shrewd.a
frame-Mental_property-carefully.adv	mental_property#carefully.c
frame-Mental_property-carelessly.adv	mental_property#careless.a	mental_property#carelessly.c	mental_property#carelessness.n
frame-Mental_property-daft.a	mental_property#crackers.a	mental_property#crazy.a
frame-Mental_property-discernment.n	mental_property#discerning.a
frame-Mental_property-foxy.a	mental_property#crafty.a	mental_property#cunning.a
frame-Mental_property-insightfully.adv	mental_property#insightfully.c
frame-Mental_property-narrow-mindedly.adv	mental_property#narrow-minded.a	mental_property#narrow-mindedly.c
frame-Mental_property-perceptively.adv	mental_property#perceptive.a	mental_property#perceptively.c
frame-Mental_property-sensible.a	mental_property#reasonable.a
frame-Mental_property-stupidly.adv	mental_property#stupid.a	mental_property#stupidly.c
frame-Mental_property-wit.n	mental_property#brilliant.a
frame-Mental_stimulus_exp_focus-absorbed.a	mental_stimulus_exp_focus#engrossed.a
frame-Mental_stimulus_exp_focus-captivated.a	mental_stimulus_exp_focus#enthralled.a
frame-Mental_stimulus_exp_focus-smitten.a	mental_stimulus_exp_focus#infatuated.a
frame-Mental_stimulus_stimulus_focus-absorbing.a	mental_stimulus_stimulus_focus#engrossing.a	mental_stimulus_stimulus_focus#fascinating.a
frame-Mental_stimulus_stimulus_focus-captivating.a	mental_stimulus_stimulus_focus#enthralling.a
frame-Military-military.n	military#armed_forces.n
frame-Military-navy.n	military#naval.a
frame-Misdeed-sin.v	misdeed#sin.n	misdeed#transgress.v	misdeed#transgression.n
frame-Money-dough.n	money#dinero.n
frame-Morality_evaluation-base.a	morality_evaluation#foul.a	morality_evaluation#immoral.a	morality_evaluation#iniquitous.a	morality_evaluation#nefarious.a	morality_evaluation#sinful.a	morality_evaluation#vile.a	morality_evaluation#villainous.a	morality_evaluation#wicked.a
frame-Morality_evaluation-depravity.n	morality_evaluation#depraved.a	morality_evaluation#reprobate.a
frame-Morality_evaluation-ethical.a	morality_evaluation#honorable.a
frame-Motion-blow.v	motion#drift.v	motion#float.v
frame-Motion-go.v	motion#move.v	motion#travel.v
frame-Motion-roll.v	motion#meander.v	motion#weave.v	motion#wind.v
frame-Motion-soar.v	motion#coast.v	motion#glide.v
frame-Motion_directional-angle.v	motion_directional#slant.v
frame-Motion_directional-fall.v	motion_directional#descend.v
frame-Motion_noise-clack.v	motion_noise#clatter.v	motion_noise#click.v
frame-Motion_noise-clang.v	motion_noise#clank.v	motion_noise#crash.v
frame-Motion_noise-creak.v	motion_noise#screech.v	motion_noise#whine.v
frame-Motion_noise-crunch.v	motion_noise#crackle.v
frame-Motion_noise-howl.v	motion_noise#roar.v	motion_noise#thunder.v
frame-Motion_noise-purr.v	motion_noise#whir.v
frame-Motion_noise-splash.v	motion_noise#squelch.v
frame-Motion_noise-thud.v	motion_noise#clump.v	motion_noise#clunk.v	motion_noise#thump.v
frame-Moving_in_place-quake.n	moving_in_place#earthquake.n	moving_in_place#temblor.n
frame-Moving_in_place-quiver.v	moving_in_place#quiver.n	moving_in_place#vibrate.v
frame-Moving_in_place-rock.v	moving_in_place#shake.v	moving_in_place#swing.n	moving_in_place#swing.v
frame-Moving_in_place-spin.v	moving_in_place#twirl.v
frame-Name_conferral-baptize.v	name_conferral#christen.v
frame-Name_conferral-dub.v	name_conferral#nickname.v
frame-Natural_features-berg.n	natural_features#iceberg.n
frame-Natural_features-brook.n	natural_features#creek.n
frame-Natural_features-cay.n	natural_features#key.n
frame-Natural_features-cirque.n	natural_features#corrie.n
frame-Natural_features-continent.n	natural_features#continental.a
frame-Natural_features-dell.n	natural_features#dingle.n
frame-Natural_features-falls.n	natural_features#waterfall.n
frame-Natural_features-hill.n	natural_features#mount.n	natural_features#mountain.n
frame-Natural_features-isle.n	natural_features#islet.n
frame-Natural_features-knoll.n	natural_features#hillock.n	natural_features#hummock.n
frame-Natural_features-pond.n	natural_features#pool.n
frame-Natural_features-reef.n	natural_features#shelf.n	natural_features#shoal.n
frame-Natural_features-rill.n	natural_features#stream.n
frame-Natural_features-sound.n	natural_features#strait.n
frame-Natural_features-vale.n	natural_features#valley.n
frame-Needing-need.v	needing#need.n	needing#require.v
frame-Network-web.n	network#network.n
frame-Non-commutative_process-subtract.v	non-commutative_process#subtraction.n
frame-Non-commutative_statement-minus.prep	non-commutative_statement#minus.c
frame-Notification_of_charges-accuse.v	notification_of_charges#charge.n	notification_of_charges#charge.v
frame-Notification_of_charges-indict.v	notification_of_charges#indictment.n
frame-Nuclear_process-fuse.v	nuclear_process#fusion.n
frame-Nuclear_process-radioactivity.n	nuclear_process#radioactive.a
frame-Objective_influence-affect.v	objective_influence#impact.n	objective_influence#impact.v
frame-Objective_influence-influence.v	objective_influence#influence.n
frame-Obscurity-unsung.a	obscurity#obscure.a
frame-Observable_body_parts-beak.n	observable_body_parts#bill.n
frame-Observable_body_parts-body.n	observable_body_parts#trunk.n
frame-Observable_body_parts-brow.n	observable_body_parts#forehead.n
frame-Observable_body_parts-chest.n	observable_body_parts#breast.n
frame-Observable_body_parts-member.n	observable_body_parts#appendage.n
frame-Observable_body_parts-pelt.n	observable_body_parts#skin.n
frame-Observable_body_parts-rump.n	observable_body_parts#buttocks.n	observable_body_parts#hindquarters.n
frame-Observable_body_parts-thumb.n	observable_body_parts#antenna.n	observable_body_parts#feeler.n	observable_body_parts#finger.n
frame-Obviousness-clearly.adv	obviousness#clarity.n	obviousness#clear.a	obviousness#clearly.c	obviousness#clearly_((clarity)).c
frame-Obviousness-obviously.adv	obviousness#evident.a	obviousness#manifest.a	obviousness#obvious.a	obviousness#obviously.c
frame-Offenses-murder.n	offenses#homicide.n
frame-Offenses-rape.n	offenses#assault.n
frame-Offenses-theft.n	offenses#larceny.n
frame-Offering-offer.v	offering#extend.v	offering#proffer.v
frame-Omen-bode.v	omen#augur.v	omen#betoken.v	omen#forebode.v	omen#foreshadow.v	omen#foreshadowing.n	omen#foretell.v	omen#omen.n	omen#ominous.a	omen#portend.v	omen#portent.n	omen#prefigure.v	omen#presage.n	omen#presage.v	omen#promise.v
frame-Omen-herald.v	omen#announce.v	omen#harbinger.n
frame-Operate_vehicle-bike.v	operate_vehicle#bicycle.v	operate_vehicle#cycle.v	operate_vehicle#pedal.v
frame-Operate_vehicle-canoe.v	operate_vehicle#paddle.v
frame-Operate_vehicle-ride.v	operate_vehicle#drive.v	operate_vehicle#motor.v
frame-Operate_vehicle-sail.v	operate_vehicle#cruise.v
frame-Operational_testing-test.v	operational_testing#testing.n
frame-Opinion-think.v	opinion#believe.v	opinion#suppose.v
frame-Opinion-view.n	opinion#opinion.n
frame-Opportunity-chance.n	opportunity#opportune.a	opportunity#opportunity.n
frame-Organization-brotherhood.n	organization#organization.n
